Timestamp,Date,Symbol,Open,High,Low,Close,Volume_(BTC)
1.59E+12,2020-05-18 16:00,BTCUSD,9661.03,9702,9599.29,9635.9,168.6284566
1.59E+12,2020-05-18 15:00,BTCUSD,9707.93,9718.36,9645.38,9661.03,95.2426807
1.59E+12,2020-05-18 14:00,BTCUSD,9657.4,9733.45,9631.31,9707.93,87.70975109
1.59E+12,2020-05-18 13:00,BTCUSD,9667.44,9689.16,9634,9657.4,94.40820933
1.59E+12,2020-05-18 12:00,BTCUSD,9641.33,9667.49,9567.63,9667.44,23.38932631
1.59E+12,2020-05-18 11:00,BTCUSD,9625.42,9686.77,9625.42,9641.33,29.32803436
1.59E+12,2020-05-18 10:00,BTCUSD,9573.02,9649.52,9560.06,9625.42,17.92790595
1.59E+12,2020-05-18 9:00,BTCUSD,9585.78,9605.43,9535.68,9573.02,52.11805512
1.59E+12,2020-05-18 8:00,BTCUSD,9767.96,9789.97,9452.5,9585.78,356.1967211
1.59E+12,2020-05-18 7:00,BTCUSD,9777.89,9798.27,9745,9767.96,24.2919814
1.59E+12,2020-05-18 6:00,BTCUSD,9863.58,9882.7,9727.03,9777.89,98.72082353
1.59E+12,2020-05-18 5:00,BTCUSD,9863.99,9895.1,9853.08,9863.58,22.30402318
1.59E+12,2020-05-18 4:00,BTCUSD,9859.74,9909.33,9839.8,9863.99,96.0593914
1.59E+12,2020-05-18 3:00,BTCUSD,9863.45,9884.33,9818.58,9859.74,52.73904434
1.59E+12,2020-05-18 2:00,BTCUSD,9903,9926.77,9837.03,9863.45,69.42110892
1.59E+12,2020-05-18 1:00,BTCUSD,9779.1,9955.32,9758,9903,278.4479432
1.59E+12,2020-05-18 0:00,BTCUSD,9667.5,9786.19,9667.5,9779.1,48.3744588
1.59E+12,2020-05-17 23:00,BTCUSD,9676,9726.51,9656.98,9667.5,38.77816239
1.59E+12,2020-05-17 22:00,BTCUSD,9768.69,9768.69,9607.37,9676,81.28463396
1.59E+12,2020-05-17 21:00,BTCUSD,9754.79,9792.99,9739.01,9768.69,10.43535525
1.59E+12,2020-05-17 20:00,BTCUSD,9780.2,9780.2,9723.43,9754.79,17.57435893
1.59E+12,2020-05-17 19:00,BTCUSD,9758.58,9785.17,9734.38,9780.2,83.24501894
1.59E+12,2020-05-17 18:00,BTCUSD,9762.35,9765,9709.03,9758.58,42.51767136
1.59E+12,2020-05-17 17:00,BTCUSD,9739.65,9777.78,9729.18,9762.35,45.54537627
1.59E+12,2020-05-17 16:00,BTCUSD,9827.74,9846.42,9707.19,9739.65,60.85504896
1.59E+12,2020-05-17 15:00,BTCUSD,9813.4,9890,9769.14,9827.74,164.730562
1.59E+12,2020-05-17 14:00,BTCUSD,9755.64,9822.32,9732.76,9813.4,57.61605861
1.59E+12,2020-05-17 13:00,BTCUSD,9780.84,9790,9704.16,9755.64,49.25480037
1.59E+12,2020-05-17 12:00,BTCUSD,9527.79,9781.07,9527.79,9780.84,309.1215182
1.59E+12,2020-05-17 11:00,BTCUSD,9532,9535.2,9492.71,9527.79,42.78739821
1.59E+12,2020-05-17 10:00,BTCUSD,9491.63,9532,9491.63,9532,11.69832869
1.59E+12,2020-05-17 9:00,BTCUSD,9492.14,9506.76,9457.3,9491.63,15.49552586
1.59E+12,2020-05-17 8:00,BTCUSD,9543.02,9551.92,9486.89,9492.14,3.497779187
1.59E+12,2020-05-17 7:00,BTCUSD,9549.73,9560,9503.56,9543.02,10.05211058
1.59E+12,2020-05-17 6:00,BTCUSD,9496.09,9550,9494.66,9549.73,8.150054896
1.59E+12,2020-05-17 5:00,BTCUSD,9516.75,9532.8,9470.6,9496.09,13.06375493
